band,day,stage,genre,location,must_see,metal_archives,notes
Mortician,"Saturday May 23, 2026",Market Place/Power Plant Live,Brutal Death,United States,1,https://www.metal-archives.com/bands/Mortician/350,
Pig Destroyer Prowler in the Yard,"Saturday May 23, 2026",Market Place/Power Plant Live,Grindcore,United States,1,https://www.metal-archives.com/bands/Pig_Destroyer/799,
Whiplash,"Saturday May 23, 2026",Market Place/Power Plant Live,Speed/Thrash,United States,3,https://www.metal-archives.com/bands/Whiplash/310,
Macabre,"Saturday May 23, 2026",Market Place/Power Plant Live,,,,,
Warbringer,"Saturday May 23, 2026",Market Place/Power Plant Live,Thrash Metal,United States,3,https://www.metal-archives.com/bands/Warbringer/53989,
Torture Rack,"Saturday May 23, 2026",Market Place/Power Plant Live,,,,,
1914,"Saturday May 23, 2026",Nevermore Hall,Blackened Death/Doom,Ukraine,1,https://www.metal-archives.com/bands/1914/3540396156,
Hellbutcher,"Saturday May 23, 2026",Nevermore Hall,Black Metal,Sweden,2,https://www.metal-archives.com/bands/Hellbutcher/3540518618,
Havukruunu,"Saturday May 23, 2026",Nevermore Hall,Pagan Black Metal,Finland,0,https://www.metal-archives.com/bands/Havukruunu/3540390272,
Acheron,"Saturday May 23, 2026",Nevermore Hall,Death/Black Metal,United States,1,https://www.metal-archives.com/bands/Acheron/123,
Sardonic Witchery,"Saturday May 23, 2026",Nevermore Hall,Black Metal,Portugal,2,https://www.metal-archives.com/bands/Sardonic_Witchery/3540357052,
Poltergeist,"Saturday May 23, 2026",Nevermore Hall,Black Metal/Noise,United States,1,https://www.metal-archives.com/bands/Poltergeist/3540530326,
Rotten Sound Murderworks/Exit,"Saturday May 23, 2026",Soundstage,Grindcore,Finland,2,https://www.metal-archives.com/bands/Rotten_Sound/2927,
Miasmatic Necrosis,"Saturday May 23, 2026",Soundstage,Goregrind,United States,0,https://www.metal-archives.com/bands/Miasmatic_Necrosis/3540476223,AxBx's Pal
Anatomia,"Saturday May 23, 2026",Soundstage,Death/Doom,Japan,2,https://www.metal-archives.com/bands/Anatomia/49197,
Soil of Ignorance,"Saturday May 23, 2026",Soundstage,Grindcore,Canada,2,https://www.metal-archives.com/bands/Soil_of_Ignorance/3540339875,
Mellow Harsher,"Saturday May 23, 2026",Soundstage,,,,,
